ruta,lineas,main,class,plugin,tests,importado,ultima_mod,estado
agents/agente_sandbox_codigo.py,244,True,False,False,False,True,2026-08-03 01:02:24 +0200,activo
agents/sandbox/__init__.py,1,False,False,False,False,True,2026-07-04 13:19:41 +0200,esbozo
agents/sandbox/agent_diseno.py,36,False,False,False,False,False,2026-07-25 15:19:11 +0200,libreria
agents/sandbox/agent_hosteleria.py,36,False,False,False,False,False,2026-07-25 15:19:11 +0200,libreria
agents/sandbox/agent_legal.py,45,False,False,False,False,False,2026-07-25 15:19:11 +0200,libreria
agents/sandbox/agent_programacion.py,48,False,True,False,False,False,2026-07-25 15:19:11 +0200,dormido
agents/sandbox/agent_runner.py,47,True,False,False,False,True,2026-07-25 15:19:11 +0200,activo
config/__init__.py,1,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
config/loader.py,49,False,False,False,False,True,2026-07-25 15:19:11 +0200,libreria
core/__init__.py,2,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/agents/__init__.py,8,False,False,False,False,True,2026-07-21 06:13:02 +0200,esbozo
core/agents/cli.py,52,True,False,False,False,True,2026-07-21 06:13:02 +0200,activo
core/agents/conciencia.py,81,False,True,False,False,True,2026-07-21 06:13:02 +0200,activo
core/agents/constants.py,23,False,False,False,False,True,2026-08-02 00:59:34 +0200,libreria
core/agents/ejecutor.py,75,False,True,False,False,True,2026-08-03 01:02:24 +0200,activo
core/agents/healing.py,130,False,True,False,False,True,2026-08-03 01:02:24 +0200,activo
core/agents/orquestador.py,56,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
core/agents/reparador.py,150,False,True,False,False,True,2026-07-22 19:16:17 +0200,activo
core/agents/telemetry.py,126,False,True,False,False,True,2026-08-03 01:02:24 +0200,activo
core/auth_layer.py,41,False,False,False,False,True,2026-07-28 16:45:59 +0200,libreria
core/bin_paths.py,25,False,False,False,False,False,2026-07-25 15:19:11 +0200,libreria
core/change_guardian.py,164,False,True,False,True,True,2026-07-25 15:19:11 +0200,activo
core/chunking.py,81,False,False,False,True,True,2026-07-25 15:19:11 +0200,libreria
core/cleaner/__init__.py,6,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/cleaner/cold_refactor.py,134,False,True,False,True,True,2026-08-03 01:02:24 +0200,activo
core/config_manager.py,207,False,False,False,False,True,2026-07-27 14:11:10 +0200,libreria
core/debate/__init__.py,3,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/debate/debate_engine.py,262,True,False,False,True,True,2026-07-26 20:43:07 +0200,activo
core/debate/lockfile.py,36,False,True,False,False,True,2026-07-25 15:19:11 +0200,activo
core/debate/plan_validator.py,178,True,False,False,False,True,2026-07-25 15:19:11 +0200,activo
core/document_quality.py,146,False,True,False,False,False,2026-07-27 14:11:10 +0200,dormido
core/event_bus.py,204,False,True,False,True,True,2026-08-04 11:21:20 +0200,activo
core/guardian_disco.py,215,True,False,False,True,True,2026-07-27 14:11:10 +0200,activo
core/guardian_openclaw.py,363,True,True,False,True,True,2026-08-03 01:02:24 +0200,activo
core/guardians/__init__.py,4,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/guardians/ast_sentinel.py,138,False,True,False,True,True,2026-08-02 01:33:33 +0200,activo
core/inferencia/__init__.py,1,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/inferencia/engine.py,68,False,True,False,False,True,2026-07-25 15:19:11 +0200,activo
core/infra/__init__.py,1,False,False,False,False,True,2026-07-25 15:19:11 +0200,esbozo
core/infra/heartbeat.py,259,True,False,False,True,True,2026-07-26 22:53:18 +0200,activo
core/infra/state_manager.py,52,False,False,False,False,False,2026-07-25 15:19:11 +0200,libreria
core/ingestador_red.py,225,True,False,False,True,True,2026-07-26 19:15:38 +0200,activo
core/interfaces/__init__.py,12,False,False,False,False,True,2026-07-22 19:16:17 +0200,esbozo
